,Year,Trimester,Province,Mbps,date
340,2019,1,Chubut,6.0,2019-01-01
341,2019,1,Córdoba,16.0,2019-01-01
342,2019,1,Corrientes,12.0,2019-01-01
343,2019,1,Entre Ríos,11.0,2019-01-01
344,2019,1,Formosa,10.0,2019-01-01
345,2019,1,Jujuy,9.0,2019-01-01
346,2019,1,La Pampa,5.0,2019-01-01
347,2019,1,La Rioja,7.0,2019-01-01
348,2019,1,Mendoza,6.0,2019-01-01
349,2019,1,Misiones,13.0,2019-01-01
350,2019,1,Neuquén,16.0,2019-01-01
351,2019,1,Río Negro,10.0,2019-01-01
352,2019,1,Salta,10.0,2019-01-01
353,2019,1,San Juan,6.0,2019-01-01
354,2019,1,San Luis,9.0,2019-01-01
355,2019,1,Santa Cruz,6.0,2019-01-01
356,2019,1,Santa Fe,13.0,2019-01-01
357,2019,1,Santiago del Estero,6.0,2019-01-01
358,2019,1,Tierra del Fuego,6.0,2019-01-01
359,2019,1,Tucumán,17.0,2019-01-01
360,2018,4,Buenos Aires,17.0,2018-10-01
361,2018,4,Ciudad de Buenos Aires,23.0,2018-10-01
362,2018,4,Catamarca,8.0,2018-10-01
363,2018,4,Chaco,13.0,2018-10-01
364,2018,4,Chubut,6.0,2018-10-01
365,2018,4,Córdoba,16.0,2018-10-01
366,2018,4,Corrientes,12.0,2018-10-01
367,2018,4,Entre Ríos,11.0,2018-10-01
368,2018,4,Formosa,10.0,2018-10-01
369,2018,4,Jujuy,9.0,2018-10-01
370,2018,4,La Pampa,4.0,2018-10-01
371,2018,4,La Rioja,7.0,2018-10-01
372,2018,4,Mendoza,6.0,2018-10-01
373,2018,4,Misiones,12.0,2018-10-01
374,2018,4,Neuquén,16.0,2018-10-01
375,2018,4,Río Negro,10.0,2018-10-01
376,2018,4,Salta,10.0,2018-10-01
377,2018,4,San Juan,6.0,2018-10-01
378,2018,4,San Luis,9.0,2018-10-01
379,2018,4,Santa Cruz,5.0,2018-10-01
380,2018,4,Santa Fe,13.0,2018-10-01
381,2018,4,Santiago del Estero,6.0,2018-10-01
382,2018,4,Tierra del Fuego,7.0,2018-10-01
383,2018,4,Tucumán,17.0,2018-10-01
