,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
445,2018,1,Misiones,56311,46880,328,50,560,103580,2018-01-01,0.005824794445135053
446,2018,1,Neuquén,46714,55072,1000,12404,2713,117903,2018-01-01,0.02140685875754592
447,2018,1,Río Negro,68769,31712,1251,4259,5128,111119,2018-01-01,0.018191336212537625
448,2018,1,Salta,79936,51534,118,2040,1391,133183,2018-01-01,0.0014761809447558047
449,2018,1,San Juan,54080,5068,826,2246,1048,63268,2018-01-01,0.015273668639053254
450,2018,1,San Luis,11104,7594,368,160,2314,21396,2018-01-01,0.03314121037463977
451,2018,1,Santa Cruz,18615,4474,1799,6734,2783,34405,2018-01-01,0.09664249261348375
452,2018,1,Santa Fe,341997,300421,10674,11636,15298,680026,2018-01-01,0.031210800094737673
453,2018,1,Santiago del Estero,26788,54594,23,1432,810,82918,2018-01-01,0.0008585934000298641
454,2018,1,Tierra del Fuego,19372,9663,531,10,2047,31614,2018-01-01,0.02741069584967995
455,2018,1,Tucumán,158611,8921,107,3680,500,168057,2018-01-01,0.0006746064270447825
456,2017,4,Buenos Aires,1241172,1718013,131181,60082,31448,3181896,2017-10-01,0.10569123376937282
457,2017,4,Ciudad de Buenos Aires,571363,961688,36277,3119,9877,1582324,2017-10-01,0.06349203571109785
458,2017,4,Catamarca,27083,263,11,10,22,29558,2017-10-01,0.00040615884503193884
459,2017,4,Chaco,55035,39690,389,3800,1121,96615,2017-10-01,0.007068229308621786
460,2017,4,Chubut,56378,15097,1187,1407,6708,93440,2017-10-01,0.021054311965660363
461,2017,4,Córdoba,349710,324709,12778,12043,10739,709979,2017-10-01,0.03653884647279174
462,2017,4,Corrientes,56786,34722,894,1334,350,93771,2017-10-01,0.015743317014757157
463,2017,4,Entre Ríos,107764,73692,1894,10267,860,193703,2017-10-01,0.017575442633903714
464,2017,4,Formosa,23410,6973,19,1603,510,32056,2017-10-01,0.0008116189662537377
465,2017,4,Jujuy,33844,9626,20,280,340,43552,2017-10-01,0.0005909466966079659
466,2017,4,La Pampa,10808,50495,8272,10569,1927,82071,2017-10-01,0.765358993338268
467,2017,4,La Rioja,16912,34984,14,2530,310,52194,2017-10-01,0.0008278145695364238
468,2017,4,Mendoza,152896,16114,3015,6206,192,180151,2017-10-01,0.019719286312264547
469,2017,4,Misiones,56271,47470,95,50,540,103895,2017-10-01,0.0016882586056761032
470,2017,4,Neuquén,46739,54119,1017,12404,2692,116971,2017-10-01,0.021759130490596718
471,2017,4,Río Negro,68690,30451,1250,4259,5114,109764,2017-10-01,0.01819769981074392
472,2017,4,Salta,80705,50446,127,1580,1376,132812,2017-10-01,0.0015736323647853293
